Annee;Parc thermique fossile (MW);Parc fioul (MW);Parc charbon (MW);Parc gaz (MW);Parc hydraulique (MW);Parc nucleaire (MW);Parc solaire (MW);Parc eolien (MW);Parc bioenergie (MW)
2007;24055.0;;;;25413.0;63260.0;7.0;2252.0;953.0
2010;27399.0;10494.0;7942.0;8963.0;25392.0;63130.0;878.0;5762.0;1223.9
2008;24665.0;;;;25360.0;63260.0;30.0;3327.0;986.3
2013;25706.7;8948.0;6359.0;10400.0;25434.0;63130.0;4366.0;8157.0;1496.1
2016;21803.2;7137.4;2997.0;11668.8;25469.8;63130.0;6772.5;11761.4;1918.2
2018;18640.9;3497.8;2997.0;12146.1;25536.3;63130.0;8546.1;15133.3;2046.6
2012;27826.5;9385.7;7913.5;10527.3;25407.0;63130.0;3727.0;7536.0;1345.9
2014;23750.9;8893.2;4508.0;10349.8;25415.3;63130.0;5295.9;9271.4;1598.1
2009;26154.6;;;;25356.9;63130.0;190.0;4573.0;1029.0
2015;22334.9;8496.5;3007.0;10831.4;25430.2;63130.0;6196.2;10324.5;1702.9
2017;19027.7;4098.2;2997.0;11932.5;25521.1;63130.0;7653.9;13549.6;1952.8
2019;18589.1;3401.1;2997.0;12191.0;25557.3;63130.0;9435.9;16494.1;2121.6
2011;27813.0;10332.0;7942.0;9539.0;25393.9;63130.0;2584.0;6714.0;1237.0
